GLT;Juvenile;Subadult;Adult;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
1023;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1052;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1058;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
1077;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1111;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1115;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1124;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1223;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
1267;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
1267;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1275;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1277;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
1278;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1283;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1284;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1289;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1290;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1291;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1292;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1294;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1294;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1295;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1295;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1296;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1296;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1297;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1297;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1298;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1298;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1300;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1301;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1302;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1303;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1304;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1305;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1306;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1307;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
