GLT;Male;Female;O1989;O1990;O1991;O1992;O1993;O1994;O1995;O1996;O1997;O1998;O1999;O2000;O2001;O2002;O2003;O2004;O2005;O2006;O2007
K2;1;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0
O1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O5;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CM4;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CS;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
K3;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1
LA4;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P6;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
R6;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S6;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0
W3;1;0;0;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;1
W6;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
X2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2116;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R8;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1
R9;1;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1
SK1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
CM5;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LC3;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0
O7;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SC;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
W10.1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
CA1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
CA2;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0
L5;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
CA4;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1
CA5;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0
CB5;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1
CB6;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0
CM10;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0
CM12;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0
CM6;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CM9;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
LC6;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1
RL1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RL4;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1
SK3;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1
SK4;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0
W10;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1
CA9;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1
CB9;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0
CM11;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1
CM13;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1
CM14;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
LC1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0
