GLT;Male;Female;O1989;O1990;O1991;O1992;O1993;O1994;O1995;O1996;O1997;O1998;O1999;O2000;O2001;O2002;O2003;O2004;O2005;O2006;O2007;O2009
K2;1;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0;0
LA2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O5;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CM4;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CS;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
J5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
K3;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0
LA4;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA6;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
P6;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R6;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S6;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0
W3;1;0;0;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0
W6;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
X2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2116;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R8;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;0
R9;1;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0
SK1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
W1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
W7;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CM5;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA7;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0
LC3;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0
O7;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SC;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
W10.1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
W9;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CA1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CA2;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0
L5;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
LA10;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CA4;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0
CA5;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0
CB5;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CB6;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0
CM10;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0
CM12;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0;0
CM6;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CM9;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
LA11;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
LA12;0;1;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1
LC6;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;0
RL1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RL4;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0
SK3;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0
SK4;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0
W10;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0
W12;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0
W14;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
W17;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
W18;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CA9;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;0
CB9;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0
CM11;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1
CM13;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1
CM14;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
LA15;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;0;0
LA16;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0
LC1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0
LG1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0
O13;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;0;0
RL2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
S4;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0
SK6;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SK7;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;0
W16;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0
W20;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0
BK1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;0
BK2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0
CM17;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
LA17;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
LA18;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
LA8;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0
LA9;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0
LC9;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0
RP2;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
SE5;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0
SE6;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;0
SE7;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;0;0
SE9;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;0
SK8;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0
CA12;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
CA13;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0
CA14;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
CM15;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0
CM16;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CM20;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CM21;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0
CM22;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
LA21;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0
LB1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0
LB2;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
LC11;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0
MC1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
MC2;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0
O19;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
RL5;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0
RL6;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0
RL7;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
SK10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0
SK11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
W21;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0
W23;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
WS1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
WS2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0
CA15;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0
CA16;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0
CB18;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0
CM19;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0
