GLT;Male;Female;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
1023;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1052;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1058;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
1077;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1111;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1115;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1124;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1223;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
1267;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
1275;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1277;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
1278;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1283;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1284;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1289;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1292;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1294;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1295;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1296;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1297;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1298;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1884;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
481;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
812;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
846;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
848;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
860;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
869;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0
880;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
971;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
981;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
989;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AF11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
