GLT;Male;Female;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
1023;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1052;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1058;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0
1077;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1111;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1115;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1124;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1267;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
1275;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1278;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1283;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1284;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1289;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1292;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1295;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1296;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1297;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1884;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
481;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
812;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
846;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
848;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
869;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
971;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
981;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
989;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AS1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AS21;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AS3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AS5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AS6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CM11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CM13;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CS2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
E17;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
E20;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
E34;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
E37;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
E38;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EM11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
KE1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
KE11;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
KE2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA10;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA14;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA16;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA19;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA28;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA31;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA32;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA35;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA37;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA38;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA39;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MA9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MF1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MF2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MK1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MK3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MP01;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
MP17;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
MP19;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0
MP23;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
MP28;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
MP33;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
MP34;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
PA4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PA5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PA6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT13;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT14;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT15;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RT16;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
