GLT;Obs2009;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
1023;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1052;2;2;2;2;2;2;2;2;2;0;0;0;0;0
1058;2;2;2;2;2;2;2;0;0;0;0;0;0;0
1077;2;2;2;0;0;0;0;0;0;0;0;0;0;0
1111;2;2;2;2;2;2;2;2;2;0;0;0;0;0
1115;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1124;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1223;2;2;2;2;2;2;0;0;0;0;0;0;0;0
1267;1;2;2;2;0;0;0;0;0;0;0;0;0;0
1275;2;2;2;0;0;0;0;0;0;0;0;0;0;0
1277;2;2;2;2;2;2;0;0;0;0;0;0;0;0
1278;2;2;2;2;2;2;2;2;2;0;0;0;0;0
1283;2;2;0;0;0;0;0;0;0;0;0;0;0;0
1284;2;2;2;2;2;2;2;2;2;0;0;0;0;0
1289;2;0;0;0;0;0;0;0;0;0;0;0;0;0
1290;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1291;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1292;2;2;0;0;0;0;0;0;0;0;0;0;0;0
1294;1;2;2;0;0;0;0;0;0;0;0;0;0;0
1295;1;2;0;0;0;0;0;0;0;0;0;0;0;0
1296;1;2;0;0;0;0;0;0;0;0;0;0;0;0
1297;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1298;1;2;0;0;0;0;0;0;0;0;0;0;0;0
1300;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1301;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1302;1;1;2;0;0;0;0;0;0;0;0;0;0;0
1303;1;1;1;2;2;2;2;2;2;2;0;0;0;0
1304;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1305;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1306;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1307;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1308;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1309;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1310;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1311;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1312;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1313;1;1;1;2;2;2;0;0;0;0;0;0;0;0
1314;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1315;1;1;1;1;0;0;0;0;0;0;0;0;0;0
1316;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1317;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1884;2;0;0;0;0;0;0;0;0;0;0;0;0;0
481;2;2;0;0;0;0;0;0;0;0;0;0;0;0
812;2;2;2;2;2;0;0;0;0;0;0;0;0;0
846;2;2;2;0;0;0;0;0;0;0;0;0;0;0
848;2;2;2;2;0;0;0;0;0;0;0;0;0;0
860;2;0;0;0;0;0;0;0;0;0;0;0;0;0
869;2;2;2;2;2;2;2;2;2;2;2;2;0;0
880;2;2;2;2;2;2;0;0;0;0;0;0;0;0
971;2;2;2;2;2;2;2;2;2;2;2;2;2;2
981;2;2;0;0;0;0;0;0;0;0;0;0;0;0
989;2;2;2;2;2;2;2;2;2;2;2;2;2;2
AF11;1;0;0;0;0;0;0;0;0;0;0;0;0;0
