GLT;Obs1989;Obs1990;Obs1991;Obs1992;Obs1993;Obs1994;Obs1995;Obs1996;Obs1997;Obs1998;Obs1999;Obs2000;Obs2001;Obs2002;Obs2003;Obs2004;Obs2005;Obs2006;Obs2007
K2;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0
LA2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O5;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CM4;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CS;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
J5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
K3;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1
LA4;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA6;0;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0
P6;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
R6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S6;0;1;1;3;3;1;1;1;1;1;0;0;3;1;1;0;0;0;0
W3;0;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;1
W6;0;1;1;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
X2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2116;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R8;0;0;1;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1
R9;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1
SK1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
W1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
W7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CM5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA7;0;0;0;1;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0
LC3;0;0;0;1;1;1;0;2;0;2;0;0;1;1;1;0;0;0;0
O7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SC;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
W10.1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
W9;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
CA1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
CA2;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0
L5;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
LA10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CA4;0;0;0;0;0;1;2;0;2;0;0;0;1;1;1;1;1;1;1
CA5;0;0;0;0;0;1;2;1;1;1;1;0;1;0;1;0;0;0;0
CB5;0;0;0;0;0;1;1;0;0;0;0;0;3;1;1;1;1;1;1
CB6;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0
CM10;0;0;0;0;0;1;2;2;0;0;0;0;1;1;1;0;0;0;0
CM12;0;0;0;0;0;1;1;1;0;2;0;0;1;1;1;0;0;0;0
CM6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CM9;0;0;0;0;0;1;2;1;1;1;0;0;0;0;0;0;0;0;0
LA11;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
LA12;0;0;0;0;0;1;1;1;1;0;0;3;1;1;1;1;1;1;1
LC4;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0
LC6;0;0;0;0;0;1;0;2;2;0;0;0;1;1;1;1;1;1;1
RL1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
RL4;0;0;0;0;0;1;1;2;0;0;0;0;1;1;1;1;1;1;1
SK3;0;0;0;0;0;1;2;1;0;0;0;0;1;1;1;1;1;1;1
SK4;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0
W10;0;0;0;0;0;1;0;0;0;0;0;0;3;1;1;1;1;1;1
W12;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0
W14;0;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0
