GLT;Male;Female;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
1023;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1052;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0
1058;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
1077;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1111;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1114;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0
1115;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1124;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1126;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1223;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0
1267;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
1275;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1277;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
1278;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1283;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1284;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0
1292;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1294;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1295;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1296;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1298;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
481;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
812;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
846;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
848;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
869;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0
880;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
971;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
981;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
986;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
989;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
AF12;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
AF13;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
AF3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
AF4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AF5;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
AF8;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
AT6;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0
AT8;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
AT9;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
AX1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
AX17;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
AX19;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
AX2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
AX20;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
AX21;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
AX22;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0
AX23;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0
AX24;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
AX4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
BE1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0
FA1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
FA2;0;1;1;1;1;2;1;1;1;0;0;0;0;0;0
JG4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
JP10;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
JP12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
JP13;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0
JP14;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
JP5;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
MP17;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
MP19;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0
MP23;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP28;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
MP29;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
MP32;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
MP33;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
MP34;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
MP35;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP47;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
MP54;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OL15;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
OL23;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
OL26;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
OL27;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
OL30;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
PM55;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
PT4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
PT7;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
PT8;1;0;1;1;2;1;1;1;1;1;0;0;0;0;0
SD4;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0
SI10;1;0;1;0;2;1;1;1;1;1;0;0;0;0;0
SI12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SI4;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
SI7;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0
SI8;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
SP13;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SP14;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
SP15;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0
SP16;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0
SP2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
SP6;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
SP8;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SP9;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
TM2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
TM3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
TM6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
TM7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1302;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1303;1;0;0;1;2;1;1;1;1;1;1;0;0;0;0
1307;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
1311;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
AF14;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0
AF15;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
BE10;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0
BE6;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0
BE9;1;0;0;1;1;1;3;1;1;1;1;0;0;0;0
FA3;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0
FA4;1;0;0;1;2;1;1;1;1;1;0;0;0;0;0
FX2;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
JP16;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
JP17;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0
JP19;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0
JP20;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0
JP23;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0
MP20;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0
MP21;1;0;0;1;1;2;2;1;1;1;0;0;0;0;0
MP26;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1
MP30;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP31;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
MP36;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
MP49;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1
MP50;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP51;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP52;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0
MP53;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0
MP61;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
MP62;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
MP65;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
MP70;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
