GLT;Obs2009;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
1023;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1052;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1058;1;1;1;1;1;1;1;0;0;0;0;0;0;0
1077;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1111;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1115;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1124;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1223;1;1;1;1;1;1;0;0;0;0;0;0;0;0
1267;1;1;1;1;0;0;0;0;0;0;0;0;0;0
1275;1;2;1;0;0;0;0;0;0;0;0;0;0;0
1277;1;1;1;1;1;1;0;0;0;0;0;0;0;0
1278;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1283;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1284;1;2;1;1;1;1;1;1;1;0;0;0;0;0
1289;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1292;1;2;0;0;0;0;0;0;0;0;0;0;0;0
1294;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1295;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1296;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1297;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1298;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1884;1;0;0;0;0;0;0;0;0;0;0;0;0;0
481;1;2;0;0;0;0;0;0;0;0;0;0;0;0
812;1;1;1;1;1;0;0;0;0;0;0;0;0;0
846;1;1;1;0;0;0;0;0;0;0;0;0;0;0
848;1;1;1;1;0;0;0;0;0;0;0;0;0;0
860;1;0;0;0;0;0;0;0;0;0;0;0;0;0
869;1;1;1;1;1;1;1;1;1;1;1;1;0;0
880;1;1;1;1;1;1;0;0;0;0;0;0;0;0
971;1;1;1;1;1;1;1;1;1;1;1;1;1;1
981;1;1;0;0;0;0;0;0;0;0;0;0;0;0
989;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AF11;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AF12;1;1;1;1;0;0;0;0;0;0;0;0;0;0
AF13;1;1;1;1;1;1;1;1;0;0;0;0;0;0
AF3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
AF4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AF5;1;1;1;1;0;0;0;0;0;0;0;0;0;0
AF6;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AF8;1;1;1;0;0;0;0;0;0;0;0;0;0;0
AM1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AT12;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AT13;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AT14;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AT15;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AT3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AT6;1;1;1;2;0;0;0;0;0;0;0;0;0;0
AT7;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AT8;1;1;1;0;0;0;0;0;0;0;0;0;0;0
AT9;1;2;1;1;1;0;0;0;0;0;0;0;0;0
AX1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
AX13;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AX14;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AX15;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AX17;1;2;1;1;1;1;1;1;1;1;1;1;1;0
AX18;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AX19;1;2;1;1;1;1;1;1;1;1;1;1;1;0
AX2;1;1;1;0;0;0;0;0;0;0;0;0;0;0
AX20;1;1;0;0;0;0;0;0;0;0;0;0;0;0
AX21;1;1;1;1;1;1;1;1;1;0;0;0;0;0
AX22;1;1;1;1;2;0;0;0;0;0;0;0;0;0
AX23;1;1;1;1;1;1;1;1;1;0;0;0;0;0
AX24;1;1;1;1;1;1;1;1;1;0;0;0;0;0
AX4;1;1;0;0;0;0;0;0;0;0;0;0;0;0
AXI;1;0;0;0;0;0;0;0;0;0;0;0;0;0
BE1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
BE10;1;0;3;1;1;1;1;1;1;1;0;0;0;0
BE2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
BE3;1;0;0;1;1;0;0;0;0;0;0;0;0;0
BE5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
BE6;1;0;2;1;1;1;1;1;0;0;0;0;0;0
BE7;1;0;0;0;0;0;0;0;0;0;0;0;0;0
BE8;1;0;0;0;0;0;0;0;0;0;0;0;0;0
