GLT;Year;Group;UMMPs;SexOK;n;State;Female;Male;Max;Duplicated;ToRemove;Corrected
1111;2013;FU;Uniao I;F;3;0;1;0;1;1;0;0
1111;2013;FU2;Uniao I;F;2;0;1;0;0;1;1;0
1275;2009;AL;Poco das Antas;M;4;0;0;1;1;1;1;1
1275;2009;BO2;Poco das Antas;M;1;0;0;1;0;1;0;1
1284;2009;BO2;Poco das Antas;M;1;0;0;1;0;1;1;0
1284;2009;PDA;Poco das Antas;M;2;0;0;1;1;1;0;0
1292;2009;EUC2;Poco das Antas;F;4;0;1;0;1;1;1;1
1292;2009;PDA;Poco das Antas;F;2;0;1;0;0;1;0;1
1298;2009;AL;Poco das Antas;M;2;0;0;1;0;1;1;0
1298;2009;EUC2;Poco das Antas;M;4;0;0;1;1;1;0;0
1318;2012;AL;Poco das Antas;M;3;0;0;1;1;1;0;0
1318;2012;PDA;Poco das Antas;M;3;0;0;1;1;1;1;1
1333;2013;BO2;Poco das Antas;F;4;0;1;0;1;1;0;0
1333;2013;POR2;Poco das Antas;F;1;0;1;0;0;1;1;0
1336;2013;POR;Poco das Antas;M;4;0;0;1;1;1;0;0
1336;2013;POR2;Poco das Antas;M;1;0;0;1;0;1;1;0
1336;2014;POR2;Poco das Antas;M;5;0;0;1;1;1;0;0
1336;2014;POR3;Poco das Antas;M;1;0;0;1;0;1;1;0
1345;2013;POR;Poco das Antas;M;4;0;0;1;1;1;0;0
1345;2013;POR2;Poco das Antas;M;1;0;0;1;0;1;1;0
1345;2014;POR2;Poco das Antas;M;5;0;0;1;1;1;0;0
1345;2014;POR3;Poco das Antas;M;1;0;0;1;0;1;1;0
1350;2013;PDA;Poco das Antas;F;4;0;1;0;1;1;0;0
1350;2013;NA;NA;F;1;0;1;0;0;1;1;0
1361;2017;BO2;Poco das Antas;F;2;0;1;0;1;1;0;0
1361;2017;GN;Poco das Antas;F;1;0;1;0;0;1;1;0
2155;1992;BK;Aldeia II;F;1;0;1;0;1;1;0;0
2155;1992;SE;Aldeia I;F;1;0;1;0;1;1;1;1
2317;1999;PT;Imbau I;M;2;0;0;1;1;1;0;0
2317;1999;TR;Rio Vermelho;M;1;0;0;1;0;1;1;0
481;2009;AL;Poco das Antas;M;4;0;0;1;1;1;1;1
481;2009;BO2;Poco das Antas;M;1;0;0;1;0;1;0;1
557;1994;BC;NA;F;1;0;1;0;1;1;1;1
557;1994;BC2;NA;F;1;0;1;0;1;1;0;0
558;1994;BC;NA;F;1;0;1;0;1;1;1;1
558;1994;BC2;NA;F;1;0;1;0;1;1;0;0
860;2009;AL;Poco das Antas;M;1;0;0;1;0;1;1;0
860;2009;EUC2;Poco das Antas;M;3;0;0;1;1;1;0;0
A7;1993;AP;Rio Vermelho;M;2;0;0;1;1;1;0;0
A7;1993;DC;NA;M;1;0;0;1;0;1;1;0
A7;1995;AP;Rio Vermelho;M;1;0;0;1;1;1;1;1
A7;1995;ML;Rio Vermelho;M;1;0;0;1;1;1;0;0
A7;1996;AP;Rio Vermelho;M;1;0;0;1;1;1;1;1
A7;1996;ML;Rio Vermelho;M;1;0;0;1;1;1;0;0
AF1;2005;AF;Imbau II;M;3;0;0;1;1;1;0;0
AF1;2005;AFII;Imbau II;M;1;0;0;1;0;1;1;0
AF1;2006;AF;Imbau II;M;1;0;0;1;1;1;1;1
AF1;2006;AFII;Imbau II;M;1;0;0;1;1;1;0;0
AF11;2008;AFII;Imbau II;M;1;0;0;1;1;1;0;0
AF11;2008;SP;Imbau II;M;1;0;0;1;1;1;1;1
AF14;2012;AF;Imbau II;F;1;0;1;0;0;1;1;0
AF14;2012;AF3;Imbau II;F;5;0;1;0;1;1;0;0
AF17;2013;Foo;NA;M;2;0;0;1;0;1;1;0
AF17;2013;PDA;Poco das Antas;M;4;0;0;1;1;1;0;0
AF18;2013;FG2;NA;M;1;0;0;1;0;1;0;1
AF18;2013;Foo;NA;M;4;0;0;1;1;1;1;1
AF19;2014;AF;Imbau II;M;3;0;0;1;1;1;0;0
AF19;2014;AF19;NA;M;1;0;0;1;0;1;1;0
AF2;2005;AF;Imbau II;M;3;0;0;1;1;1;0;0
AF2;2005;AFII;Imbau II;M;1;0;0;1;0;1;1;0
AF3;2007;AF;Imbau II;M;2;0;0;1;1;1;0;0
AF3;2007;SP;Imbau II;M;1;0;0;1;0;1;1;0
