"Group";"MinYear";"MaxYear";"Duration";"N";"UMMPs";"Farm";"Long";"Lat";"Fragment.Region"
"PT";1995;2017;22;95;"Imbau I";"Fazenda Cordeiros";758345;7497591;"cordeiros"
"AX";2001;2022;21;91;"Imbau I";"Santa Helena II";767274;7497645;"Santa Helena II"
"SI2";2004;2021;17;91;"Imbau I";"Santa Helena II";767886;7497685;"Santa Helena II"
"SD";2003;2022;19;90;"Uniao I";"Rebio Uniao";804126;7517008;"Uniao"
"AFII";2005;2022;17;88;"Imbau II";"Fazenda Afetiva";760539;7494754;"Afetiva"
"SP";2002;2017;15;88;"Imbau II";"Afetiva";760297;7494833;"Afetiva SP"
"AF";2003;2016;13;84;"Imbau II";"Afetiva";760295;7494955;"Afetiva"
"RV";1998;2022;24;81;"Rio Vermelho";"Rio Vermelho";748422;7485075;"Rio Vermelho"
"TMII";2009;2022;13;81;"Imbau I";"Tamarins";767988;7498391;"Tamarins"
"DU";2009;2022;13;78;"Uniao I";"Rebio Uniao";806834;7517768;"Uniao"
"LB";2009;2022;13;78;"Uniao II";"Rebio Uniao";806208;7515714;"Uniao"
"SQ";2009;2022;13;78;"Uniao I";"Rebio Uniao";805651;7517583;"Uniao"
"LP";1992;2022;30;75;"Uniao I";"Rebio Uniao";804385;7517170;"Uniao"
"AX2";2001;2018;17;70;"Boa Esperanca";"Boa Esperanca";763279;7492616;"Boa Esperanca AX2"
"BO2";2008;2020;12;67;"Poco das Antas";"Rebio PDA";777129;7505637;"Rebio Poço das Antas"
"PDA";2007;2020;13;67;"Poco das Antas";"Rebio PDA";777622;7506214;"Rebio Poço das Antas"
"TR";1992;2017;25;67;"Rio Vermelho";"Rio Vermelho";749499;7484456;"Rio Vermelho"
"AL";2007;2018;11;62;"Poco das Antas";"Rebio PDA";777558;7506694;"Rebio Poço das Antas"
"OL";1996;2011;15;62;"Imbau I";"Estreito";762176;7496524;"Andorinhas Estreito"
"ST";1992;2009;17;54;"Rio Vermelho";"Rio Vermelho";750338;7484551;"Rio Vermelho"
"JR";1990;2022;32;52;"Aldeia I";"Iguape";774240;7508618;"Iguape"
"JR";1990;2022;32;52;"Aldeia I";"Sta Helena I";771330;7505536;"Sta Helena I"
"EM";1992;2009;17;51;"Rio Vermelho";"Rio Vermelho";748483;7485742;"Rio Vermelho"
"FU";2009;2017;8;51;"Uniao I";"Rebio Uniao";806534;7517497;"Uniao"
"OM";1989;2007;18;46;"Aldeia I";"Coqueiros";777117;7509434;"Sao Francisco Coqueiros"
"MA";1992;2009;17;45;"Rio Vermelho";"Rio Vermelho";749813;7485541;"Rio Vermelho"
"PR";2000;2022;22;45;"Imbau I";"Sitio do Professor";760539;7497537;"Sitio do Professor Estreito"
"RI";1989;2007;18;45;"Aldeia I";"Igarape";776789;7508604;"Igarape"
"AF3";2012;2019;7;43;"Imbau II";" Fazenda Afetiva";760304;7494942;"Afetiva"
"EB";2011;2018;7;43;NA;NA;NA;NA;NA
"POR";2008;2014;6;42;"Poco das Antas";"Rebio PDA";777265;7504907;"Rebio Poço das Antas"
"MF2";2007;2022;15;41;"Rio Vermelho";"Rio Vermelho";748172;7485279;"Rio Vermelho"
"JB";2015;2022;7;39;"Rio Vermelho";"Rio Vermelho";748153;7485267;"Rio Vermelho"
"AP";1992;2009;17;38;"Rio Vermelho";"Rio Vermelho";750310;7486225;"Rio Vermelho"
"CLA";1990;2007;17;38;"Aldeia I";"Dois Irmaos";774415;7508292;"Dois Irmaos"
"ML";1993;2007;14;38;"Rio Vermelho";"Rio Vermelho";750959;7486058;"Rio Vermelho"
"SE";1989;2007;18;38;"Aldeia I";"Sao Francisco";775676;7509399;"Sao  Francisco Coqueiros"
"EX";2011;2016;5;36;NA;NA;NA;NA;NA
"IP";1998;2022;24;36;"Aldeia I";"Iguape";775026;7508717;"Iguape IP"
"JD";2001;2022;21;35;"Aldeia I";"Joedi";776205;7508925;"Sitio Joedi"
"AT";1995;2009;14;34;"Imbau I";"Andorinhas";761883;7494870;"Andorinhas Estreito"
"SS";1990;2007;17;34;"Aldeia II";"Sta Helena I";773002;7506643;"Sta Helena I"
"SI";2002;2010;8;33;NA;NA;NA;NA;NA
"SK";1990;2007;17;32;NA;NA;NA;NA;NA
"JG";2000;2009;9;31;"Imbau II";"Afetiva";760670;7494943;"Afetiva"
"JG";2000;2009;9;31;"Imbau II";"Cabana Nova Conquista";765027;7495286;"Cabanã Nova Conquista"
"LA";1989;2007;18;31;NA;NA;NA;NA;NA
"RT";2004;2022;18;31;"Rio Vermelho";"Rio Vermelho";748524;7485332;"Rio Vermelho"
"ML2";1999;2009;10;30;"Rio Vermelho";"Rio Vermelho";750198;7485898;"Rio Vermelho"
"RC";2016;2022;6;30;NA;NA;NA;NA;NA
"BK";1991;2007;16;29;"Aldeia II";"Vale do Cedro";771633;7504501;"Vale do Cedro Santa Helena"
"CA2";1994;2007;13;29;"Aldeia I";"Dois Irmaos";774348;7507995;"Dois Irmaos"
