Group;MinYear;MaxYear;Duration;N;UMMPs;Farm;Long;Lat;Fragment.Region;To include
PT;1995;2017;22;83;Imbau I;Faz. Cordeiros;758345;7497591;Faz. Cordeiros;1
AX;2001;2022;21;76;Imbau I;Faz. Sta Helena 2;767274;7497645;Faz. Sta Helena 2;1
SP;2002;2017;15;75;Imbau II;Faz. Afetiva;760297;7494833;Faz. Afetiva;1
RV;1998;2022;24;72;Rio Vermelho;Faz. Rio Vermelho;748422;7485075;Faz. Rio Vermelho;1
SD;2003;2022;19;72;Uniao I;Rebio Uniao;804126;7517008;Rebio Uniao;1
SI2;2004;2021;17;71;Imbau I;Faz. Sta Helena 2;767886;7497685;Faz. Sta Helena 2;1
AF;2003;2016;13;70;Imbau II;Faz. Afetiva;760295;7494955;Faz. Afetiva;1
AFII;2005;2022;17;68;Imbau II;Faz. Afetiva;760539;7494754;Faz. Afetiva;1
TMII;2009;2022;13;63;Imbau I;Faz. Tamarins;767988;7498391;Faz. Tamarins;1
TR;1992;2017;25;63;Rio Vermelho;Faz. Rio Vermelho;749499;7484456;Faz. Rio Vermelho;1
AX2;2001;2018;17;60;Faz. Boa Esperanza;Faz. Boa Esperanca;763279;7492616;Faz. Boa Esperanca;1
DU;2009;2022;13;60;Uniao I;Rebio Uniao;806834;7517768;Rebio Uniao;1
LB;2009;2022;13;60;Uniao II;Rebio Uniao;806208;7515714;Rebio Uniao;1
OL;1996;2011;15;60;Imbau I;Faz. Estreito;762176;7496524;Faz. Estreito;1
SQ;2009;2022;13;60;Uniao I;Rebio Uniao;805651;7517583;Rebio Uniao;1
LP;1992;2022;30;58;Uniao I;Rebio Uniao;804385;7517170;Rebio Uniao;1
ST;1992;2009;17;54;Rio Vermelho;Faz. Rio Vermelho;750338;7484551;Faz. Rio Vermelho;1
BO2;2008;2020;12;53;Poco das Antas;Poco das Antas;777129;7505637;Poco das Antas;1
PDA;2007;2020;13;53;Poco das Antas;Poco das Antas;777622;7506214;Poco das Antas;1
EM;1992;2009;17;51;Rio Vermelho;Faz. Rio Vermelho;748483;7485742;Faz. Rio Vermelho;1
AL;2007;2018;11;48;Poco das Antas;Poco das Antas;777558;7506694;Poco das Antas;1
OM;1989;2007;18;46;Aldeia I;Faz. Coqueiros;777117;7509434;Faz. Coqueiros;1
MA;1992;2009;17;45;Rio Vermelho;Faz. Rio Vermelho;749813;7485541;Faz. Rio Vermelho;1
RI;1989;2007;18;45;Aldeia I;Faz. Igarape;776789;7508604;Faz. Igarape;1
SI;2002;2013;11;43;Imbau I;Faz. Sta Helena 2;767762;7497710;Faz. Sta Helena 2;1
FU;2009;2017;8;40;Uniao I;Rebio Uniao;806534;7517497;Rebio Uniao;1
JR;1990;2007;17;40;Aldeia I;Faz. Igarape;774240;7508618;Faz. Igarape;1
PR;2000;2022;22;40;Imbau I;Sitio do Professor;760539;7497537;Sitio do Professor;1
AP;1992;2009;17;38;Rio Vermelho;Faz. Rio Vermelho;750310;7486225;Faz. Rio Vermelho;1
CLA;1990;2007;17;38;Aldeia I;Faz. 2 Irmaos;774415;7508292;Faz. 2 Irmaos;1
ML;1993;2007;14;38;Rio Vermelho;Faz. Rio Vermelho;750959;7486058;Faz. Rio Vermelho;1
SE;1989;2007;18;38;Aldeia I;Faz. Sao Francisco;775676;7509399;Faz. Sao Francisco;1
AT;1995;2009;14;34;Imbau I;St. das Andorinhas;761883;7494870;St. das Andorinhas;1
SS;1990;2007;17;34;Aldeia II;Faz. Sta Helena;773002;7506643;Faz. Sta Helena;1
AF3;2012;2019;7;33;Imbau II;Faz. Afetiva;760304;7494942;Faz. Afetiva;1
EB;2011;2018;7;33;NA;NA;NA;NA;NA;1
MF2;2007;2022;15;33;Rio Vermelho;Faz. Rio Vermelho;748172;7485279;Faz. Rio Vermelho;1
POR;2008;2014;6;32;Poco das Antas;Poco das Antas;777265;7504907;Poco das Antas;1
