Group;Region;UMMPs
AF19;Poco das Antas;NA
AS9;Faz. Rio Vermelho;NA
AT2;St. das Andorinhas;NA
AX3;Faz. Sta Helena 2;NA
AXII;Faz. Sta Helena 2;NA
BB;Poco das Antas;NA
BB2;Poco das Antas;NA
BC;PEDR;NA
BC;Poco das Antas;NA
BC;REBIO;NA
BC2;Poco das Antas;NA
BC2;VIV 2;NA
BI;Faz. St Bira;NA
BI2;Faz. St Bira;NA
BI2;Faz. Sta Barbara;NA
BK2;FAZ. MR;NA
BK2;Faz. Vale do Cedro;NA
BK2;Vale do Cedro;NA
BU;Poco das Antas;NA
BU;REBIO;NA
BU;Rebio Uniao;NA
C.O;Poco das Antas;NA
CB6;Rio Vermelho;NA
CH2;St. das Andorinhas;NA
CLA2;Faz. 2 Irmaos;NA
DC;St das Andorinhas;NA
DI2;Faz. 2 Irmaos;NA
E21;Faz. Rio Vermelho;NA
EB;Faz. Boa Esperanca;NA
ET2;Faz. Estreito;NA
FA12;Faz. Afetiva;NA
FA16;Faz. Afetiva;NA
FG2;Poco das Antas;NA
FN;Faz. Sta Helena;NA
FN2;Faz. Sta Helena;NA
FPII;Faz. Afetiva;NA
FPIII;Faz. Afetiva;NA
Foo;Poco das Antas;NA
Fusao;Faz. Rio Vermelho;NA
GM10;Faz. Nova Esperanca;NA
GM8;Faz. Nova Esperanca;NA
GM9;Faz. Nova Esperanca;NA
IP2;Faz. Iguape;NA
IPE;Sitio Ipe;NA
JA;Faz. Sta Helena;NA
JM;Rebio Uniao;NA
JM2;Rebio Uniao;NA
JR.1;Faz. Rio Vermelho;NA
JR.1;Faz. Sta Helena;NA
JU;OlhosD'agua;NA
Jaguar;Faz. Rio Vermelho;NA
KN;Estrada PDA;NA
LB2;Rebio Uniao;NA
LB3;Rebio Uniao;NA
LB4;Rebio Uniao;NA
LB9;Rebio Uniao;NA
LC1;Dois Irmãos;NA
LC1;Faz. 2 Irmaos;NA
MA15;Faz. Rio Vermelho;NA
MB2;Faz. Igarape;NA
MD;Faz. Rio Vermelho;NA
MF2/RV;Estrada PDA;NA
MF2/RV;Faz. Rio Vermelho;NA
MF3;Faz. Rio Vermelho;NA
MK;Faz. Rio Vermelho;NA
MM;Faz. Rio Vermelho;NA
MR;Faz. Rio Vermelho;NA
NA;Rio Vermelho;NA
NE;Faz. Nova Esperanca;NA
OD;OlhosD'agua;NA
OL18;Faz. Estreito;NA
OM2;Faz. Coqueiros;NA
PE;Igarapé;NA
PF2;Faz. Sta Helena;NA
PJ;Faz. Rio Vermelho;NA
PR2;St. Professor;NA
PSG2;Sitio 15 de Marco;NA
PT2;Rebio Uniao;NA
PT3;Rebio Uniao;NA
PV;Sitio 4 Irmaos;NA
RC;Sitio Recanto Preservar;NA
RL2;Faz. Igarape;NA
RL2;Faz. Kombi;NA
RL2;Kombi;NA
RL24;Faz. Igarape;NA
RL4;Faz. Igarape;NA
RL4;Igarapé;NA
RL4;St. Professor;NA
RM2;Sitio Moria;NA
RS;Faz. Igarape;NA
RS;Igarapé;NA
RS2;Faz. Igarape;NA
RT1;PEDR;NA
RT1;Poco das Antas;NA
RT1;NA;NA
RTII;Faz. Rio Vermelho;NA
RVII;Faz. Rio Vermelho;NA
SA;A. SA;NA
SA;Faz. Rio Vermelho;NA
SEII;Boa Vista;NA
SF;Faz. Sao Francisco;NA
SH2;Faz. Sta Helena;NA
SID-3;Faz. Afetiva;NA
SID-3;Faz. Sta Helena 2;NA
SID-3;Faz. Tamarins;NA
SL2;Faz. Rio Vermelho;NA
SP3;Faz. Afetiva;NA
SQII;Rebio Uniao;NA
SS1;Faz. Sta Helena;NA
SS2;Faz. Sta Helena;NA
SS3;Faz. Sta Helena;NA
SSII;Faz. Sta Helena;NA
ST10;Faz. Rio Vermelho;NA
ST3;Faz. Rio Vermelho;NA
Sta Fe;Faz. Sta Fe;NA
TB;OlhosD'agua;NA
TM3;Faz. Tamarins;NA
TR12;Faz. Rio Vermelho;NA
TRII;Faz. Rio Vermelho;NA
TT;Poco das Antas;NA
Viveiro;Afetiva;NA
XP;Faz. Pacoty;NA
XT2;Faz. Sta Helena 2;NA
Z;Faz. Rio Vermelho;NA
Z;PEDR;NA
Z;Poco das Antas;NA
ZM;Rebio Uniao;NA
ZN;Rebio Uniao;NA
